Date of analysis,Country,Total country population,Level 1,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
#date+analysis,#country+code,#population,#loc+level1,#date+start+current,#date+end+current,#affected+num+ipc+current+total,#affected+num+ipc+current+p3plus,#affected+pct+ipc+current+p3plus,#affected+num+ipc+current+phase1,#affected+pct+ipc+current+phase1,#affected+num+ipc+current+phase2,#affected+pct+ipc+current+phase2,#affected+num+ipc+current+phase3,#affected+pct+ipc+current+phase3,#affected+num+ipc+current+phase4,#affected+pct+ipc+current+phase4,#affected+num+ipc+current+phase5,#affected+pct+ipc+current+phase5,#date+start+first_projection,#date+end+first_projection,#affected+num+ipc+first_projection+total,#affected+num+ipc+first_projection+p3plus,#affected+pct+ipc+first_projection+p3plus,#affected+num+ipc+first_projection+phase1,#affected+pct+ipc+first_projection+phase1,#affected+num+ipc+first_projection+phase2,#affected+pct+ipc+first_projection+phase2,#affected+num+ipc+first_projection+phase3,#affected+pct+ipc+first_projection+phase3,#affected+num+ipc+first_projection+phase4,#affected+pct+ipc+first_projection+phase4,#affected+num+ipc+first_projection+phase5,#affected+pct+ipc+first_projection+phase5,#date+start+second_projection,#date+end+second_projection,#affected+num+ipc+second_projection+total,#affected+num+ipc+second_projection+p3plus,#affected+pct+ipc+second_projection+p3plus,#affected+num+ipc+second_projection+phase1,#affected+pct+ipc+second_projection+phase1,#affected+num+ipc+second_projection+phase2,#affected+pct+ipc+second_projection+phase2,#affected+num+ipc+second_projection+phase3,#affected+pct+ipc+second_projection+phase3,#affected+num+ipc+second_projection+phase4,#affected+pct+ipc+second_projection+phase4,#affected+num+ipc+second_projection+phase5,#affected+pct+ipc+second_projection+phase5
Jun 2018,COD,84930565,Kasai Oriental,2018-08-01,2019-06-30,1853742,322473,0.18,351599,0.19,1199296,0.64,220377,0.12,102096,0.06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2018,COD,84930565,Sankuru,2018-08-01,2019-06-30,1911392,199875,0.1,364914,0.19,1346610,0.7,199875,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2018,COD,84930565,Haut Uélé,2018-08-01,2019-06-30,1461651,133268,0.09,575081,0.39,753309,0.52,133268,0.09,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2018,COD,84930565,Sud Ubangi,2018-08-01,2019-06-30,1827876,199058,0.11,417200,0.23,1211621,0.66,179341,0.1,19717,0.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2018,COD,84930565,Nord Ubangi,2018-08-01,2019-06-30,1344078,99050,0.07,485343,0.36,759685,0.57,99050,0.07,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr 2024,DJI,1181675,Ali Sabieh,2024-04-01,2024-06-30,71576,17929,0.25,21365,0.3,32283,0.45,16393,0.23,1536,0.02,0,0,2024-07-01,2024-12-31,71576,26729,0.37,21414,0.3,23433,0.33,20764,0.29,5965,0.08,0,0,,,,,,,,,,,,,,,
Apr 2024,DJI,1181675,Dikhil,2024-04-01,2024-06-30,106942,24255,0.23,38670,0.36,44017,0.41,20148,0.19,4107,0.04,0,0,2024-07-01,2024-12-31,106942,29602,0.28,34563,0.32,42777,0.4,21388,0.2,8214,0.08,0,0,,,,,,,,,,,,,,,
Apr 2024,DJI,1181675,Arta,2024-04-01,2024-06-30,36950,8961,0.24,13640,0.37,14348,0.39,7114,0.19,1848,0.05,0,0,2024-07-01,2024-12-31,36950,10101,0.27,13640,0.37,13209,0.36,7114,0.19,2987,0.08,0,0,,,,,,,,,,,,,,,
Apr 2024,DJI,1181675,Obock,2024-04-01,2024-06-30,76837,22666,0.29,25165,0.33,29007,0.38,16953,0.22,5713,0.07,0,0,2024-07-01,2024-12-31,76837,26651,0.34,20266,0.26,29920,0.39,20938,0.27,5713,0.07,0,0,,,,,,,,,,,,,,,
Apr 2024,DJI,1181675,Tadjourah,2024-04-01,2024-06-30,109475,30465,0.28,46168,0.42,32843,0.3,25784,0.24,4681,0.04,0,0,2024-07-01,2024-12-31,109475,35938,0.33,40694,0.37,32843,0.3,26576,0.24,9362,0.09,0,0,,,,,,,,,,,,,,,
Apr 2024,DJI,1181675,Djibouti Ville,2024-04-01,2024-06-30,779895,116984,0.15,311958,0.4,350953,0.45,96404,0.12,20581,0.03,0,0,2024-07-01,2024-12-31,779895,155979,0.2,291377,0.37,332539,0.43,135398,0.17,20581,0.03,0,0,,,,,,,,,,,,,,,
Apr 2023,DJI,1181675,Ali Sabieh,2023-03-01,2023-06-30,71576,18445,0.25,28930,0.4,24201,0.34,12364,0.17,6081,0.08,0,0,2023-07-01,2023-12-31,71576,29514,0.42,23400,0.33,18662,0.26,21873,0.31,7641,0.11,0,0,,,,,,,,,,,,,,,
Apr 2023,DJI,1181675,Dikhil,2023-03-01,2023-06-30,106942,36575,0.35,20617,0.19,49750,0.47,23015,0.22,13561,0.13,0,0,2023-07-01,2023-12-31,106942,55483,0.52,18136,0.17,33323,0.31,36575,0.34,18908,0.18,0,0,,,,,,,,,,,,,,,
Apr 2023,DJI,1181675,Arta,2023-03-01,2023-06-30,36950,12380,0.33,10930,0.3,13640,0.37,9393,0.25,2987,0.08,0,0,2023-07-01,2023-12-31,36950,13519,0.37,10930,0.3,12501,0.34,10532,0.29,2987,0.08,0,0,,,,,,,,,,,,,,,
Apr 2023,DJI,1181675,Obock,2023-03-01,2023-06-30,76837,25737,0.33,24493,0.32,26607,0.35,16325,0.21,9412,0.12,0,0,2023-07-01,2023-12-31,76837,29293,0.38,20795,0.27,26750,0.35,17239,0.22,12054,0.16,0,0,,,,,,,,,,,,,,,
Apr 2023,DJI,1181675,Djibouti Ville,2023-03-01,2023-06-30,779895,116984,0.15,369367,0.47,293544,0.38,77990,0.1,38995,0.05,0,0,2023-07-01,2023-12-31,779895,116984,0.15,389948,0.5,272963,0.35,77990,0.1,38995,0.05,0,0,,,,,,,,,,,,,,,
Apr 2023,DJI,1181675,Tadjourah,2023-03-01,2023-06-30,109475,39827,0.37,31332,0.29,38316,0.35,24991,0.23,14836,0.14,0,0,2023-07-01,2023-12-31,109475,40620,0.37,31332,0.29,37524,0.34,21102,0.19,19517,0.18,0,0,,,,,,,,,,,,,,,
Mar 2022,DJI,1181675,Djibouti Ville,2022-03-01,2022-06-30,779895,59575,0.08,484185,0.62,236135,0.3,59575,0.08,0,0,0,0,2022-07-01,2022-12-31,779895,98570,0.13,465771,0.6,215554,0.28,98570,0.13,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,DJI,1181675,Ali Sabieh,2022-03-01,2022-06-30,71576,19287,0.27,25986,0.36,26303,0.37,17268,0.24,2019,0.03,0,0,2022-07-01,2022-12-31,71576,23667,0.33,22490,0.31,25419,0.36,21648,0.3,2019,0.03,0,0,,,,,,,,,,,,,,,
Mar 2022,DJI,1181675,Tadjourah,2022-03-01,2022-06-30,109475,16421,0.15,35938,0.33,57115,0.52,16421,0.15,0,0,0,0,2022-07-01,2022-12-31,109475,21895,0.2,21102,0.19,66478,0.61,17214,0.16,4681,0.04,0,0,,,,,,,,,,,,,,,
Mar 2022,DJI,1181675,Dikhil,2022-03-01,2022-06-30,106942,14801,0.14,38670,0.36,53471,0.5,14801,0.14,0,0,0,0,2022-07-01,2022-12-31,106942,20148,0.19,30456,0.28,56338,0.53,20148,0.19,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,DJI,1181675,Arta,2022-03-01,2022-06-30,36950,10101,0.27,12777,0.35,14072,0.38,8253,0.22,1848,0.05,0,0,2022-07-01,2022-12-31,36950,11948,0.32,9514,0.26,15488,0.42,10101,0.27,1848,0.05,0,0,,,,,,,,,,,,,,,
Mar 2022,DJI,1181675,Obock,2022-03-01,2022-06-30,76837,11812,0.15,29535,0.38,35490,0.46,10755,0.14,1057,0.01,0,0,2022-07-01,2022-12-31,76837,15940,0.21,25407,0.33,35490,0.46,12098,0.16,3842,0.05,0,0,,,,,,,,,,,,,,,
Oct 2020,DJI,1117143,Djibouti Ville,2020-10-01,2020-12-31,737989,56374,0.08,514542,0.7,167073,0.23,56374,0.08,0,0,0,0,2021-01-01,2021-08-31,737989,93274,0.13,386419,0.52,258296,0.35,93274,0.13,0,0,0,0,,,,,,,,,,,,,,,
Oct 2020,DJI,1117143,Dikhil,2020-10-01,2020-12-31,101196,32706,0.32,35784,0.35,32706,0.32,22587,0.22,10120,0.1,0,0,2021-01-01,2021-08-31,101196,32706,0.32,33071,0.33,35419,0.35,26473,0.26,6233,0.06,0,0,,,,,,,,,,,,,,,
Oct 2020,DJI,1117143,Ali Sabieh,2020-10-01,2020-12-31,66871,13107,0.2,38993,0.58,14771,0.22,10093,0.15,3014,0.05,0,0,2021-01-01,2021-08-31,66871,13107,0.2,38993,0.58,14771,0.22,10093,0.15,3014,0.05,0,0,,,,,,,,,,,,,,,
Oct 2020,DJI,1117143,Arta,2020-10-01,2020-12-31,34964,4575,0.13,19230,0.55,11159,0.32,4575,0.13,0,0,0,0,2021-01-01,2021-08-31,34964,6323,0.18,18560,0.53,10081,0.29,6323,0.18,0,0,0,0,,,,,,,,,,,,,,,
Oct 2020,DJI,1117143,Tadjourah,2020-10-01,2020-12-31,103592,28078,0.28,31828,0.31,43687,0.42,19218,0.19,8859,0.09,0,0,2021-01-01,2021-08-31,103592,23648,0.23,32578,0.31,47366,0.46,14789,0.14,8859,0.09,0,0,,,,,,,,,,,,,,,
Oct 2020,DJI,1117143,Obock,2020-10-01,2020-12-31,72531,20139,0.27,28380,0.39,24012,0.33,16259,0.22,3880,0.05,0,0,2021-01-01,2021-08-31,72531,25139,0.34,24380,0.34,23012,0.32,16259,0.22,8880,0.12,0,0,,,,,,,,,,,,,,,
Oct 2017,DJI,,Tadjourah,,,103592,41437,0.4,31078,0.3,31078,0.3,31078,0.3,10359,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct 2017,DJI,,Obock,,,50000,28000,0.56,10500,0.21,11500,0.23,15000,0.3,13000,0.26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct 2017,DJI,,Arta,,,44894,15013,0.33,16413,0.37,13468,0.3,8979,0.2,6034,0.13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct 2017,DJI,,Ali Sabieh,,,94124,44388,0.47,30911,0.33,18825,0.2,25285,0.27,19103,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct 2017,DJI,,Djibouti,,,592894,113374,0.19,254582,0.43,224938,0.38,71509,0.12,41865,0.07,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct 2017,DJI,,Dikhil,,,96000,38200,0.39,28800,0.3,29000,0.3,21500,0.22,16700,0.17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2021,ETH,114964000,Tigray,2021-05-01,2021-06-30,5765914,4061487,0.71,577360,0.1,1127067,0.2,1939897,0.34,1768694,0.31,352896,0.06,2021-07-01,2021-09-30,4995467,3906587,0.78,313228,0.06,775652,0.16,1819256,0.36,1686018,0.34,401313,0.08,,,,,,,,,,,,,,,
May 2021,ETH,114964000,SNNP,2021-05-01,2021-06-30,11325437,2338960,0.21,5613470,0.5,3373007,0.3,1901182,0.17,437778,0.04,0,0,2021-07-01,2021-09-30,4023068,783362,0.2,1928302,0.48,1311404,0.33,591606,0.15,191757,0.05,0,0,,,,,,,,,,,,,,,
May 2021,ETH,114964000,Oromia,2021-05-01,2021-06-30,18965016,4851785,0.26,7063982,0.37,7049250,0.37,3954723,0.21,897062,0.05,0,0,2021-07-01,2021-09-30,7304568,1679369,0.23,2862606,0.39,2762593,0.38,1335173,0.18,344197,0.05,0,0,,,,,,,,,,,,,,,
May 2021,ETH,114964000,Somali,2021-05-01,2021-06-30,5448015,1978449,0.36,1502478,0.28,1967088,0.36,1436879,0.26,541570,0.1,0,0,2021-07-01,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2021,ETH,114964000,Amhara,2021-05-01,2021-06-30,9611059,2315656,0.24,4815258,0.5,2480146,0.26,1816464,0.19,499191,0.05,0,0,2021-07-01,2021-09-30,3425998,1016971,0.3,1260643,0.37,1148383,0.34,812964,0.24,204007,0.06,0,0,,,,,,,,,,,,,,,
